DATASET, #TRAINING_RELEASES, %TRAINING_INSTANCES, CLASSIFIER, BALANCING, PRECISION, RECALL, AUC, KAPPA, TP, FP, TN, FN
zookeeper,5,81.43133462282398,Naive Bayes,No Sampling,0.8397790055248618,0.987012987012987,0.8718386876281613,0.3056462902473166,304.0,58.0,18.0,4.0
zookeeper,6,84.33931484502448,Naive Bayes,No Sampling,0.896969696969697,0.9673202614379085,0.8890983743924921,0.6002271436683702,296.0,34.0,44.0,10.0
zookeeper,7,87.8853046594982,Naive Bayes,No Sampling,0.875,0.9692307692307692,0.8689842209072979,0.5806451612903226,252.0,36.0,42.0,8.0
zookeeper,8,85.3211009174312,Naive Bayes,No Sampling,0.9620253164556962,0.8878504672897196,0.8237329259525521,0.4687280393534786,380.0,15.0,37.0,48.0
zookeeper,9,87.2,Naive Bayes,No Sampling,0.9023809523809524,0.9427860696517413,0.7719575200918485,0.45991561181434604,379.0,41.0,37.0,23.0
zookeeper,10,88.65248226950355,Naive Bayes,No Sampling,0.8568075117370892,0.9656084656084656,0.8342800082996161,0.4438181134911688,365.0,61.0,41.0,13.0
zookeeper,11,89.77079796264856,Naive Bayes,No Sampling,0.8229665071770335,0.9717514124293786,0.8710385769774012,0.46838235294117625,344.0,74.0,54.0,10.0
zookeeper,12,89.6158235070369,Naive Bayes,No Sampling,0.8784067085953878,0.9436936936936937,0.7525945062709769,0.42845251608021195,419.0,58.0,44.0,25.0
zookeeper,13,91.602787456446,Naive Bayes,No Sampling,0.9064748201438849,0.949748743718593,0.8885349365877004,0.5330224309501134,378.0,39.0,45.0,20.0
zookeeper,14,91.31403118040089,Naive Bayes,No Sampling,0.8951965065502183,0.9403669724770642,0.8591847372810676,0.544733402442872,410.0,48.0,62.0,26.0
zookeeper,15,92.00819672131148,Naive Bayes,No Sampling,0.8851063829787233,0.9811320754716981,0.8900015465511908,0.6220356393193693,416.0,54.0,68.0,8.0
zookeeper,16,92.57452574525745,Naive Bayes,No Sampling,0.8876889848812095,0.9785714285714285,0.9048456101190476,0.6479929236342195,411.0,52.0,76.0,9.0
zookeeper,17,93.84537131230925,Naive Bayes,No Sampling,0.8896882494004796,0.9814814814814815,0.919973544973545,0.63105511448625,371.0,46.0,60.0,7.0
zookeeper,18,94.20220412074748,Naive Bayes,No Sampling,0.9095354523227384,0.9841269841269841,0.903863432165319,0.7097511993752093,372.0,37.0,69.0,6.0
zookeeper,19,93.75561545372867,Naive Bayes,No Sampling,0.8820960698689956,0.9619047619047619,0.8978553921568627,0.6237723300595468,404.0,54.0,82.0,16.0
zookeeper,20,94.12262156448203,Naive Bayes,No Sampling,0.841991341991342,0.9725,0.8540464743589744,0.5741483696841493,389.0,73.0,83.0,11.0
zookeeper,21,94.41117764471058,Naive Bayes,No Sampling,0.8530066815144766,0.9623115577889447,0.8866322352503258,0.6120291491327106,383.0,66.0,96.0,15.0
zookeeper,22,93.87296233839236,Naive Bayes,No Sampling,0.9979959919839679,0.7638036809815951,0.7971625766871165,0.006741264771012894,498.0,1.0,1.0,154.0
zookeeper,23,93.82911392405063,Naive Bayes,No Sampling,1.0,0.8660968660968661,0.8678558921568632,0.0,608.0,0.0,0.0,94.0
zookeeper,1,50.0,IBk,No Sampling,0.967391304347826,0.9888888888888889,0.6582098765432098,0.21212121212121368,445.0,15.0,3.0,5.0
zookeeper,2,64.86486486486487,IBk,No Sampling,0.9740518962075848,0.991869918699187,0.7900406504065041,0.17655488678704576,488.0,13.0,2.0,4.0
zookeeper,3,74.0,IBk,No Sampling,0.8628230616302187,0.9977011494252873,0.6298371647509579,0.0649699652228896,434.0,69.0,3.0,1.0
